=====================================
性能分析报告
=====================================
分析时间: 2026-04-11T18:50:49.689111
执行时间: 3.05秒
内存使用变化: 4.45MB
CPU使用变化: 0.00%

热点函数:
--------------------------------------------------------------------------------
ncalls     tottime    percall    cumtime    percall_cum filename             lineno     function            
--------------------------------------------------------------------------------
    24000    0.028    0.000    0.035    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:2808(<genexpr>)
     1990    0.011    0.000    0.035    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:450(submit)
     8010    0.026    0.000    0.034    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:2023(internal_values)
     9482    0.033    0.000    0.033    0.000 {built-in method builtins.round}
    52374    0.033    0.000    0.033    0.000 C:\python\python3.12\Lib\site-packages\backtrader\metabase.py:320(__getitem__)
       38    0.004    0.000    0.030    0.001 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:406(donew)
        8    0.000    0.000    0.030    0.004 C:\Users\21471\WorkBuddy\quant system\backtest_system\backtest_engine.py:402(_df_to_feed)
    24000    0.024    0.000    0.029    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:2817(<genexpr>)
    28636    0.027    0.000    0.027    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:85(set_idx)
      990    0.005    0.000    0.027    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:566(execute)
    16002    0.019    0.000    0.027    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\common.py:372(apply_if_callable)
        6    0.000    0.000    0.026    0.004 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:250(_addobserver)
     6950    0.025    0.000    0.025    0.000 {method '__reduce_ex__' of 'object' objects}
    24000    0.024    0.000    0.024    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:1181(<genexpr>)
    11062    0.013    0.000    0.024    0.000 {built-in method builtins.max}
      200    0.010    0.000    0.023    0.000 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:376(_get_current_portfolio)
       22    0.006    0.000    0.023    0.001 C:\python\python3.12\Lib\site-packages\backtrader\lineiterator.py:39(donew)
      990    0.003    0.000    0.022    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:502(execute)
     1980    0.004    0.000    0.022    0.000 C:\python\python3.12\Lib\site-packages\backtrader\comminfo.py:239(getcommission)
    24000    0.021    0.000    0.021    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:1666(<genexpr>)
    17600    0.021    0.000    0.021    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\common.py:152(cast_scalar_indexer)
     8000    0.020    0.000    0.020    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\internals\blocks.py:1319(iget)
       20    0.000    0.000    0.019    0.001 C:\python\python3.12\Lib\site-packages\backtrader\observer.py:30(donew)
      200    0.011    0.000    0.019    0.000 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:102(next)
    13006    0.019    0.000    0.019    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:149(__len__)
     6950    0.013    0.000    0.019    0.000 C:\python\python3.12\Lib\copyreg.py:104(__newobj__)
     7700    0.012    0.000    0.019    0.000 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:1378(getposition)
      990    0.006    0.000    0.019    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:177(add)
        1    0.000    0.000    0.019    0.019 C:\Users\21471\WorkBuddy\quant system\backtest_system\backtest_engine.py:282(_collect_results)
     2000    0.017    0.000    0.018    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:130(__init__)
     1996    0.009    0.000    0.018    0.000 C:\python\python3.12\Lib\site-packages\backtrader\position.py:53(__init__)
     8022    0.018    0.000    0.018    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\flags.py:87(allows_duplicate_labels)
     8022    0.018    0.000    0.018    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\flags.py:51(__init__)
     6968    0.018    0.000    0.018    0.000 {method 'update' of 'dict' objects}
    17710    0.017    0.000    0.017    0.000 {built-in method __new__ of type object at 0x00007FFB6F530FD0}
        1    0.000    0.000    0.017    0.017 C:\Users\21471\WorkBuddy\quant system\backtest_system\optimized_backtest_engine.py:402(_preprocess_data)
      200    0.009    0.000    0.017    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzers\drawdown.py:98(next)
     1000    0.003    0.000    0.017    0.000 C:\python\python3.12\Lib\site-packages\backtrader\feed.py:246(date2num)
       40    0.001    0.000    0.017    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:199(__init__)
     8048    0.016    0.000    0.016    0.000 C:\python\python3.12\Lib\site-packages\pandas\_config\__init__.py:34(using_copy_on_write)
     1278    0.004    0.000    0.016    0.000 C:\python\python3.12\Lib\site-packages\backtrader\metabase.py:175(_getitems)
      200    0.002    0.000    0.016    0.000 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:268(_getminperstatus)
      990    0.004    0.000    0.016    0.000 C:\python\python3.12\Lib\site-packages\backtrader\position.py:121(pseudoupdate)
     1990    0.011    0.000    0.016    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:520(_take_children)
      204    0.002    0.000    0.016    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineroot.py:47(donew)
    22112    0.015    0.000    0.015    0.000 {method 'append' of 'array.array' objects}
1484/1318    0.012    0.000    0.015    0.000 C:\python\python3.12\Lib\site-packages\backtrader\metabase.py:192(__new__)
      990    0.013    0.000    0.015    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:609(_ococheck)
     4100    0.011    0.000    0.015    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:181(_getlinealias)
     8014    0.015    0.000    0.015    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:1856(__init__)
     8000    0.015    0.000    0.015    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:162(iloc)
    15786    0.014    0.000    0.014    0.000 {built-in method builtins.divmod}
        2    0.000    0.000    0.014    0.007 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:482(_stop)
      990    0.005    0.000    0.014    0.000 C:\python\python3.12\Lib\site-packages\backtrader\position.py:118(clone)
        8    0.000    0.000    0.014    0.002 C:\python\python3.12\Lib\site-packages\pandas\core\frame.py:7304(sort_index)
        8    0.000    0.000    0.014    0.002 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:5312(sort_index)
      306    0.010    0.000    0.013    0.000 C:\python\python3.12\Lib\site-packages\backtrader\metabase.py:42(findowner)
       18    0.000    0.000    0.013    0.001 C:\python\python3.12\Lib\logging\__init__.py:1479(info)
     1616    0.005    0.000    0.013    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\frame.py:1652(__len__)
       22    0.000    0.000    0.013    0.001 C:\python\python3.12\Lib\site-packages\backtrader\lineiterator.py:339(nextstart)
       18    0.000    0.000    0.012    0.001 C:\python\python3.12\Lib\logging\__init__.py:1610(_log)
     7920    0.009    0.000    0.012    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:171(__len__)
     1485    0.009    0.000    0.012    0.000 C:\Users\21471\WorkBuddy\quant system\backtest_system\optimized_backtest_engine.py:660(_getcommission)
     1414    0.008    0.000    0.012    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:361(_get_dt_cmpkey)
      404    0.003    0.000    0.012    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:390(date)
     1366    0.003    0.000    0.012    0.000 C:\python\python3.12\Lib\site-packages\backtrader\metabase.py:140(<lambda>)
     4820    0.010    0.000    0.012    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:192(getlinealiases)
      990    0.008    0.000    0.012    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:592(_bracketize)
       11    0.000    0.000    0.012    0.001 C:\python\python3.12\Lib\threading.py:295(wait)
    24035    0.012    0.000    0.012    0.000 {method 'get' of 'dict' objects}
       47    0.012    0.000    0.012    0.000 {method 'acquire' of '_thread.lock' objects}
      200    0.006    0.000    0.012    0.000 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:442(_get_stock_value)
     3240    0.006    0.000    0.012    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:298(buflen)
    38610    0.011    0.000    0.011    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:210(notify_order)
      300    0.006    0.000    0.011    0.000 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:434(_get_held_codes)
        8    0.000    0.000    0.011    0.001 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:6684(copy)
        8    0.000    0.000    0.011    0.001 C:\Users\21471\WorkBuddy\quant system\backtest_system\optimized_backtest_engine.py:458(_df_to_feed)
     1485    0.008    0.000    0.011    0.000 C:\Users\21471\WorkBuddy\quant system\backtest_system\backtest_engine.py:519(_getcommission)
        2    0.000    0.000    0.011    0.005 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:12048(pct_change)
    28/22    0.000    0.000    0.010    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:196(_stop)
        8    0.000    0.000    0.010    0.001 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:576(copy)
        1    0.000    0.000    0.010    0.010 C:\Users\21471\WorkBuddy\quant system\backtest_system\optimized_backtest_engine.py:413(<dictcomp>)
        8    0.000    0.000    0.010    0.001 C:\python\python3.12\Lib\concurrent\futures\thread.py:161(submit)
2800/2200    0.006    0.000    0.010    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:160(_notify_fund)
     1420    0.009    0.000    0.009    0.000 {method 'copy' of 'collections.OrderedDict' objects}
     2970    0.009    0.000    0.009    0.000 C:\python\python3.12\Lib\site-packages\backtrader\position.py:124(update)
     1996    0.007    0.000    0.009    0.000 C:\python\python3.12\Lib\site-packages\backtrader\position.py:74(set)
        8    0.000    0.000    0.009    0.001 C:\python\python3.12\Lib\concurrent\futures\thread.py:180(_adjust_thread_count)
    17716    0.009    0.000    0.009    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.009    0.004 C:\python\python3.12\Lib\site-packages\backtrader\lineiterator.py:293(_once)
    16044    0.009    0.000    0.009    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:408(flags)
     2980    0.007    0.000    0.009    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:212(markpending)
      990    0.008    0.000    0.009    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:189(addbit)
     5544    0.008    0.000    0.008    0.000 C:\python\python3.12\Lib\site-packages\backtrader\broker.py:77(getcommissioninfo)
        5    0.000    0.000    0.008    0.002 C:\python\python3.12\Lib\threading.py:945(start)
       18    0.000    0.000    0.008    0.000 C:\python\python3.12\Lib\logging\__init__.py:1636(handle)
    15186    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
     1600    0.005    0.000    0.008    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\arrays\datetimes.py:578(tz)
       18    0.000    0.000    0.008    0.000 C:\python\python3.12\Lib\logging\__init__.py:1690(callHandlers)
       18    0.000    0.000    0.008    0.000 C:\python\python3.12\Lib\logging\__init__.py:965(handle)
     8000    0.008    0.000    0.008    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:180(blknos)
     8012    0.008    0.000    0.008    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:1959(_block)
     5814    0.008    0.000    0.008    0.000 {built-in method math.fsum}
       18    0.000    0.000    0.008    0.000 C:\python\python3.12\Lib\logging\__init__.py:1098(emit)
    16086    0.008    0.000    0.008    0.000 {built-in method builtins.callable}
     5262    0.008    0.000    0.008    0.000 {built-in method fromordinal}
        8    0.000    0.000    0.007    0.001 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:1801(_consolidate_inplace)
      990    0.002    0.000    0.007    0.000 C:\python\python3.12\Lib\site-packages\backtrader\comminfo.py:244(confirmexec)
     8000    0.007    0.000    0.007    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:699(ndim)
     8000    0.007    0.000    0.007    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:196(blklocs)
        5    0.000    0.000    0.007    0.001 C:\python\python3.12\Lib\threading.py:611(wait)
     1000    0.003    0.000    0.007    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:425(addinfo)
        2    0.000    0.000    0.007    0.004 C:\python\python3.12\Lib\site-packages\backtrader\observers\trades.py:108(donew)
2800/2200    0.006    0.000    0.007    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:154(_notify_cashvalue)
