=====================================
性能分析报告
=====================================
分析时间: 2026-04-11T18:50:46.420195
执行时间: 2.88秒
内存使用变化: 4.96MB
CPU使用变化: 0.00%

热点函数:
--------------------------------------------------------------------------------
ncalls     tottime    percall    cumtime    percall_cum filename             lineno     function            
--------------------------------------------------------------------------------
        8    0.000    0.000    0.011    0.001 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:6684(copy)
    12000    0.011    0.000    0.011    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:1181(<genexpr>)
     1485    0.008    0.000    0.011    0.000 C:\Users\21471\WorkBuddy\quant system\backtest_system\backtest_engine.py:519(_getcommission)
    12000    0.011    0.000    0.011    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:1666(<genexpr>)
      495    0.002    0.000    0.010    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:502(execute)
        8    0.000    0.000    0.010    0.001 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:576(copy)
     4000    0.010    0.000    0.010    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\internals\blocks.py:1319(iget)
     8800    0.010    0.000    0.010    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\common.py:152(cast_scalar_indexer)
     3850    0.006    0.000    0.010    0.000 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:1378(getposition)
      990    0.002    0.000    0.010    0.000 C:\python\python3.12\Lib\site-packages\backtrader\comminfo.py:239(getcommission)
      998    0.005    0.000    0.010    0.000 C:\python\python3.12\Lib\site-packages\backtrader\position.py:53(__init__)
      100    0.005    0.000    0.009    0.000 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:102(next)
       20    0.001    0.000    0.009    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:199(__init__)
     4015    0.009    0.000    0.009    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\flags.py:87(allows_duplicate_labels)
        1    0.000    0.000    0.009    0.009 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:482(_stop)
     1000    0.008    0.000    0.009    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:130(__init__)
     4015    0.009    0.000    0.009    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\flags.py:51(__init__)
     3475    0.006    0.000    0.009    0.000 C:\python\python3.12\Lib\copyreg.py:104(__newobj__)
      102    0.001    0.000    0.009    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineroot.py:47(donew)
        1    0.000    0.000    0.009    0.009 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:12048(pct_change)
      495    0.003    0.000    0.009    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:177(add)
       11    0.000    0.000    0.009    0.001 C:\python\python3.12\Lib\site-packages\backtrader\lineiterator.py:339(nextstart)
     8867    0.009    0.000    0.009    0.000 {built-in method __new__ of type object at 0x00007FFB6F530FD0}
     3484    0.008    0.000    0.008    0.000 {method 'update' of 'dict' objects}
     2050    0.006    0.000    0.008    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:181(_getlinealias)
    11056    0.008    0.000    0.008    0.000 {method 'append' of 'array.array' objects}
      100    0.004    0.000    0.008    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzers\drawdown.py:98(next)
      153    0.006    0.000    0.008    0.000 C:\python\python3.12\Lib\site-packages\backtrader\metabase.py:42(findowner)
      500    0.001    0.000    0.008    0.000 C:\python\python3.12\Lib\site-packages\backtrader\feed.py:246(date2num)
     4028    0.008    0.000    0.008    0.000 C:\python\python3.12\Lib\site-packages\pandas\_config\__init__.py:34(using_copy_on_write)
  742/659    0.006    0.000    0.008    0.000 C:\python\python3.12\Lib\site-packages\backtrader\metabase.py:192(__new__)
      100    0.001    0.000    0.008    0.000 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:268(_getminperstatus)
      495    0.002    0.000    0.008    0.000 C:\python\python3.12\Lib\site-packages\backtrader\position.py:121(pseudoupdate)
        8    0.000    0.000    0.007    0.001 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:1801(_consolidate_inplace)
      639    0.002    0.000    0.007    0.000 C:\python\python3.12\Lib\site-packages\backtrader\metabase.py:175(_getitems)
      995    0.005    0.000    0.007    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:520(_take_children)
     4000    0.007    0.000    0.007    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:162(iloc)
     7893    0.007    0.000    0.007    0.000 {built-in method builtins.divmod}
